,happy,angry,sad,neutral
0,7.88,13.62,6.49,9.64
1,0.06,0.42,14.35,15.74
2,6.77,13.38,8.24,17.75
3,1.73,22.3,3.99,5.38
4,7.62,4.87,10.83,2.77
5,1.06,9.35,0.29,8.27
6,22.69,10.89,49.95,23.45
7,4.45,3.89,7.65,5.17
8,16.06,3.41,14.99,12.4
9,31.91,22.27,20.56,17.09
10,4.7,4.87,20.35,4.19
11,7.5,2.31,2.9,21.42
12,25.37,19.36,23.69,4.76
13,7.24,3.31,9.99,18.42
14,3.68,10.4,2.89,18.31
15,9.914666666666667,9.643333333333334,13.143999999999998,12.317333333333332
16,8.994268221113563,6.812260699160986,11.59364524211432,6.524192925821042
