,numVideo,happy,angry,sad,neutral
0,Vid0,42.0,74.0,34.0,42.0
1,Vid1,54.6,60.0,40.0,60.0
2,Vid2,46.6,61.6,35.0,48.4
3,Vid3,49.0,40.0,54.6,72.8
4,Vid4,41.8,83.6,27.2,40.0
5,Vid5,47.2,29.0,29.0,85.4
6,Vid6,67.2,32.8,40.0,76.4
7,Vid7,40.0,26.0,46.0,86.0
8,Vid8,36.0,86.0,32.0,40.0
9,Vid9,57.8,51.2,35.6,53.4
10,Vid10,70.0,30.0,30.0,78.0
11,Vid11,30.0,32.0,72.0,56.0
12,Vid12,40.0,76.0,36.0,44.0
13,Vid13,49.0,52.8,32.8,63.6
14,Vid14,54.0,52.0,46.0,80.0
15,Vid15,36.4,52.8,76.4,47.2
16,Vid16,74.6,52.8,34.6,51.0
17,Vid17,92.8,23.6,25.4,43.6
18,Vid18,64.0,44.0,36.0,72.0
19,Vid19,78.2,36.4,34.6,60.0
20,Vid20,41.8,69.0,38.2,65.4
21,Vid21,52.0,60.0,42.0,70.0
22,Vid22,40.0,36.0,66.0,76.0
23,Vid23,30.0,32.4,85.0,60.0
24,Vid24,86.0,34.0,30.0,52.0
25,Vid25,70.0,35.0,33.4,71.6
26,Vid26,55.6,37.8,31.2,82.2
27,Vid27,56.4,43.6,49.0,81.8
28,Vid28,32.8,87.2,29.0,29.0
29,Vid29,56.0,62.0,38.0,42.0
30,Vid30,47.2,38.2,34.6,80.0
31,Vid31,28.0,40.0,84.0,60.0
32,Vid32,36.0,60.0,48.0,66.0
33,Vid33,89.0,40.0,31.0,41.8
34,Vid34,46.6,46.6,60.0,62.2
35,Vid35,31.2,40.0,82.2,48.8
36,Vid36,32.8,41.8,54.6,56.4
37,Vid37,23.6,34.6,94.6,29.0
38,Vid38,36.0,38.0,82.0,70.0
39,Vid39,23.6,27.2,96.4,32.8
40,Vid40,40.0,40.0,33.4,62.2
41,Vid41,45.4,41.8,56.4,76.4
42,Vid42,38.2,49.0,41.8,92.8
43,Vid43,36.4,51.0,65.4,63.6
44,Vid44,58.2,52.8,36.4,56.4
45,Vid45,81.8,29.0,27.2,54.6
46,Vid46,45.4,27.2,34.6,83.6
47,Vid47,38.0,34.0,82.0,50.0
48,Vid48,37.6,72.4,35.0,47.6
49,Vid49,31.0,69.0,34.6,51.0
50,Vid50,44.0,48.0,40.0,68.0
51,Vid51,33.4,35.6,75.6,55.6
52,Vid52,54.6,63.6,29.0,52.8
53,Vid53,69.0,54.6,31.0,63.6
54,Vid54,45.4,38.2,47.2,63.6
55,Vid55,54.6,45.4,54.6,83.6
56,Vid56,46.0,32.0,52.0,86.0
57,Vid57,38.0,42.0,56.0,70.0
58,Vid58,38.2,49.0,60.0,69.0
59,Vid59,34.0,42.0,64.0,82.0
60,Vid60,52.8,51.0,41.8,63.6
