,mediaColonne
 VID_RGB_061,2.0
 VID_RGB_061.1,2.8
 VID_RGB_061.2,2.5
 VID_RGB_061.3,3.6
 VID_RGB_062,2.2
 VID_RGB_062.1,1.9
 VID_RGB_062.2,1.8
 VID_RGB_062.3,3.8
 VID_RGB_063,2.0
 VID_RGB_063.1,1.8181818181818181
 VID_RGB_063.2,2.727272727272727
 VID_RGB_063.3,3.6363636363636362
 VID_RGB_064,2.5454545454545454
 VID_RGB_064.1,3.4545454545454546
 VID_RGB_064.2,2.090909090909091
 VID_RGB_064.3,2.5454545454545454
 VID_RGB_065,3.0
 VID_RGB_065.1,2.2222222222222223
 VID_RGB_065.2,2.7777777777777777
 VID_RGB_065.3,2.888888888888889
 VID_RGB_066,2.3636363636363638
 VID_RGB_066.1,2.0
 VID_RGB_066.2,2.1818181818181817
 VID_RGB_066.3,3.3636363636363638
 VID_RGB_067,1.25
 VID_RGB_067.1,1.6666666666666667
 VID_RGB_067.2,4.833333333333333
 VID_RGB_067.3,1.5833333333333333
 VID_RGB_068,2.6666666666666665
 VID_RGB_068.1,3.0
 VID_RGB_068.2,2.5
 VID_RGB_068.3,3.0
 VID_RGB_069,3.272727272727273
 VID_RGB_069.1,3.1818181818181817
 VID_RGB_069.2,1.5454545454545454
 VID_RGB_069.3,2.6363636363636362
 VID_RGB_070,4.222222222222222
 VID_RGB_070.1,1.6666666666666667
 VID_RGB_070.2,1.6666666666666667
 VID_RGB_070.3,2.111111111111111
 VID_RGB_071,2.3
 VID_RGB_071.1,2.1
 VID_RGB_071.2,4.0
 VID_RGB_071.3,3.3
 VID_RGB_072,2.3636363636363638
 VID_RGB_072.1,2.3636363636363638
 VID_RGB_072.2,2.8181818181818183
 VID_RGB_072.3,3.909090909090909
 VID_RGB_073,3.75
 VID_RGB_073.1,1.5
 VID_RGB_073.2,1.3333333333333333
 VID_RGB_073.3,2.8333333333333335
 VID_RGB_074,2.909090909090909
 VID_RGB_074.1,2.272727272727273
 VID_RGB_074.2,2.272727272727273
 VID_RGB_074.3,3.727272727272727
 VID_RGB_075,2.4545454545454546
 VID_RGB_075.1,3.0
 VID_RGB_075.2,2.6363636363636362
 VID_RGB_075.3,3.5454545454545454
